GWMST Name;Datum/Zeit;Messwert
MI;04.06.2025 00:00:00;9,62
MI;04.06.2025 01:00:00;9,58
MI;04.06.2025 02:00:00;9,63
MI;04.06.2025 03:00:00;9,58
MI;04.06.2025 04:00:00;9,65
MI;04.06.2025 05:00:00;9,60
MI;04.06.2025 06:00:00;9,57
MI;04.06.2025 07:00:00;9,64
MI;04.06.2025 08:00:00;9,60
MI;04.06.2025 09:00:00;9,65
MI;04.06.2025 10:00:00;9,61
MI;04.06.2025 11:00:00;9,59
MI;04.06.2025 12:00:00;9,58
MI;04.06.2025 13:00:00;9,65
MI;04.06.2025 14:00:00;9,57
MI;04.06.2025 15:00:00;9,60
MI;04.06.2025 16:00:00;9,60
MI;04.06.2025 17:00:00;9,63
MI;04.06.2025 18:00:00;9,63
MI;04.06.2025 19:00:00;9,64
MI;04.06.2025 20:00:00;9,61
MI;04.06.2025 21:00:00;9,64
MI;04.06.2025 22:00:00;9,65
MI;04.06.2025 23:00:00;9,65
MI;05.06.2025 00:00:00;9,54
MI;05.06.2025 01:00:00;9,56
MI;05.06.2025 02:00:00;9,50
MI;05.06.2025 03:00:00;9,50
MI;05.06.2025 04:00:00;9,49
MI;05.06.2025 05:00:00;9,51
MI;05.06.2025 06:00:00;9,54
MI;05.06.2025 07:00:00;9,59
MI;05.06.2025 08:00:00;9,57
MI;05.06.2025 09:00:00;9,55
MI;05.06.2025 10:00:00;9,56
MI;05.06.2025 11:00:00;9,54
MI;05.06.2025 12:00:00;9,58
MI;05.06.2025 13:00:00;9,50
MI;05.06.2025 14:00:00;9,53
MI;05.06.2025 15:00:00;9,57
MI;05.06.2025 16:00:00;9,58
MI;05.06.2025 17:00:00;9,55
MI;05.06.2025 18:00:00;9,51
MI;05.06.2025 19:00:00;9,53
MI;05.06.2025 20:00:00;9,49
MI;05.06.2025 21:00:00;9,55
MI;05.06.2025 22:00:00;9,57
MI;05.06.2025 23:00:00;9,50
MI;06.06.2025 00:00:00;9,61
MI;06.06.2025 01:00:00;9,61
MI;06.06.2025 02:00:00;9,68
MI;06.06.2025 03:00:00;9,65
MI;06.06.2025 04:00:00;9,62
MI;06.06.2025 05:00:00;9,70
MI;06.06.2025 06:00:00;9,67
MI;06.06.2025 07:00:00;9,68
MI;06.06.2025 08:00:00;9,60
MI;06.06.2025 09:00:00;9,61
MI;06.06.2025 10:00:00;9,61
MI;06.06.2025 11:00:00;9,69
MI;06.06.2025 12:00:00;9,69
MI;06.06.2025 13:00:00;9,62
MI;06.06.2025 14:00:00;9,62
MI;06.06.2025 15:00:00;9,65
MI;06.06.2025 16:00:00;9,66
MI;06.06.2025 17:00:00;9,67
MI;06.06.2025 18:00:00;9,68
MI;06.06.2025 19:00:00;9,64
MI;06.06.2025 20:00:00;9,66
MI;06.06.2025 21:00:00;9,68
MI;06.06.2025 22:00:00;9,61
MI;06.06.2025 23:00:00;9,70
MI;07.06.2025 00:00:00;9,71
MI;07.06.2025 01:00:00;9,68
MI;07.06.2025 02:00:00;9,71
MI;07.06.2025 03:00:00;9,72
MI;07.06.2025 04:00:00;9,70
MI;07.06.2025 05:00:00;9,69
MI;07.06.2025 06:00:00;9,63
MI;07.06.2025 07:00:00;9,64
MI;07.06.2025 08:00:00;9,62
MI;07.06.2025 09:00:00;9,66
MI;07.06.2025 10:00:00;9,64
MI;07.06.2025 11:00:00;9,72
MI;07.06.2025 12:00:00;9,64
MI;07.06.2025 13:00:00;9,70
MI;07.06.2025 14:00:00;9,66
MI;07.06.2025 15:00:00;9,68
MI;07.06.2025 16:00:00;9,66
MI;07.06.2025 17:00:00;9,66
MI;07.06.2025 18:00:00;9,70
MI;07.06.2025 19:00:00;9,65
MI;07.06.2025 20:00:00;9,63
MI;07.06.2025 21:00:00;9,65
MI;07.06.2025 22:00:00;9,71
MI;07.06.2025 23:00:00;9,71
MI;08.06.2025 00:00:00;9,58
MI;08.06.2025 01:00:00;9,67
MI;08.06.2025 02:00:00;9,64
MI;08.06.2025 03:00:00;9,64
MI;08.06.2025 04:00:00;9,67
MI;08.06.2025 05:00:00;9,67
MI;08.06.2025 06:00:00;9,60
MI;08.06.2025 07:00:00;9,60
MI;08.06.2025 08:00:00;9,60
MI;08.06.2025 09:00:00;9,61
MI;08.06.2025 10:00:00;9,65
MI;08.06.2025 11:00:00;9,63
MI;08.06.2025 12:00:00;9,64
MI;08.06.2025 13:00:00;9,58
MI;08.06.2025 14:00:00;9,62
MI;08.06.2025 15:00:00;9,62
MI;08.06.2025 16:00:00;9,63
MI;08.06.2025 17:00:00;9,58
MI;08.06.2025 18:00:00;9,59
MI;08.06.2025 19:00:00;9,62
MI;08.06.2025 20:00:00;9,61
MI;08.06.2025 21:00:00;9,59
MI;08.06.2025 22:00:00;9,64
MI;08.06.2025 23:00:00;9,61
MI;09.06.2025 00:00:00;9,83
MI;09.06.2025 01:00:00;9,85
MI;09.06.2025 02:00:00;9,79
MI;09.06.2025 03:00:00;9,85
MI;09.06.2025 04:00:00;9,82
MI;09.06.2025 05:00:00;9,77
MI;09.06.2025 06:00:00;9,83
MI;09.06.2025 07:00:00;9,86
MI;09.06.2025 08:00:00;9,83
MI;09.06.2025 09:00:00;9,79
MI;09.06.2025 10:00:00;9,79
MI;09.06.2025 11:00:00;9,83
MI;09.06.2025 12:00:00;9,77
MI;09.06.2025 13:00:00;9,81
MI;09.06.2025 14:00:00;9,86
MI;09.06.2025 15:00:00;9,84
MI;09.06.2025 16:00:00;9,87
MI;09.06.2025 17:00:00;9,80
MI;09.06.2025 18:00:00;9,79
MI;09.06.2025 19:00:00;9,83
MI;09.06.2025 20:00:00;9,86
MI;09.06.2025 21:00:00;9,77
MI;09.06.2025 22:00:00;9,82
MI;09.06.2025 23:00:00;9,79
MI;10.06.2025 00:00:00;9,78
MI;10.06.2025 01:00:00;9,86
MI;10.06.2025 02:00:00;9,86
MI;10.06.2025 03:00:00;9,77
MI;10.06.2025 04:00:00;9,78
MI;10.06.2025 05:00:00;9,85
MI;10.06.2025 06:00:00;9,80
MI;10.06.2025 07:00:00;9,85
MI;10.06.2025 08:00:00;9,78
MI;10.06.2025 09:00:00;9,79
MI;10.06.2025 10:00:00;9,78
MI;10.06.2025 11:00:00;9,86
MI;10.06.2025 12:00:00;9,80
MI;10.06.2025 13:00:00;9,86
MI;10.06.2025 14:00:00;9,86
MI;10.06.2025 15:00:00;9,87
MI;10.06.2025 16:00:00;9,79
MI;10.06.2025 17:00:00;9,86
MI;10.06.2025 18:00:00;9,80
