GWMST Name;Datum/Zeit;Messwert
MR;04.06.2025 00:00:00;9,13
MR;04.06.2025 01:00:00;9,13
MR;04.06.2025 02:00:00;9,10
MR;04.06.2025 03:00:00;9,05
MR;04.06.2025 04:00:00;9,08
MR;04.06.2025 05:00:00;9,11
MR;04.06.2025 06:00:00;9,11
MR;04.06.2025 07:00:00;9,08
MR;04.06.2025 08:00:00;9,14
MR;04.06.2025 09:00:00;9,13
MR;04.06.2025 10:00:00;9,13
MR;04.06.2025 11:00:00;9,11
MR;04.06.2025 12:00:00;9,05
MR;04.06.2025 13:00:00;9,10
MR;04.06.2025 14:00:00;9,07
MR;04.06.2025 15:00:00;9,09
MR;04.06.2025 16:00:00;9,08
MR;04.06.2025 17:00:00;9,10
MR;04.06.2025 18:00:00;9,07
MR;04.06.2025 19:00:00;9,12
MR;04.06.2025 20:00:00;9,11
MR;04.06.2025 21:00:00;9,10
MR;04.06.2025 22:00:00;9,07
MR;04.06.2025 23:00:00;9,14
MR;05.06.2025 00:00:00;9,07
MR;05.06.2025 01:00:00;9,01
MR;05.06.2025 02:00:00;8,99
MR;05.06.2025 03:00:00;9,04
MR;05.06.2025 04:00:00;8,98
MR;05.06.2025 05:00:00;9,04
MR;05.06.2025 06:00:00;9,07
MR;05.06.2025 07:00:00;9,06
MR;05.06.2025 08:00:00;9,08
MR;05.06.2025 09:00:00;9,04
MR;05.06.2025 10:00:00;9,01
MR;05.06.2025 11:00:00;9,00
MR;05.06.2025 12:00:00;9,03
MR;05.06.2025 13:00:00;9,04
MR;05.06.2025 14:00:00;8,98
MR;05.06.2025 15:00:00;9,01
MR;05.06.2025 16:00:00;9,06
MR;05.06.2025 17:00:00;9,08
MR;05.06.2025 18:00:00;9,05
MR;05.06.2025 19:00:00;8,99
MR;05.06.2025 20:00:00;9,08
MR;05.06.2025 21:00:00;9,04
MR;05.06.2025 22:00:00;9,07
MR;05.06.2025 23:00:00;9,04
MR;06.06.2025 00:00:00;9,18
MR;06.06.2025 01:00:00;9,10
MR;06.06.2025 02:00:00;9,16
MR;06.06.2025 03:00:00;9,15
MR;06.06.2025 04:00:00;9,17
MR;06.06.2025 05:00:00;9,13
MR;06.06.2025 06:00:00;9,17
MR;06.06.2025 07:00:00;9,17
MR;06.06.2025 08:00:00;9,09
MR;06.06.2025 09:00:00;9,13
MR;06.06.2025 10:00:00;9,10
MR;06.06.2025 11:00:00;9,10
MR;06.06.2025 12:00:00;9,11
MR;06.06.2025 13:00:00;9,14
MR;06.06.2025 14:00:00;9,10
MR;06.06.2025 15:00:00;9,14
MR;06.06.2025 16:00:00;9,10
MR;06.06.2025 17:00:00;9,15
MR;06.06.2025 18:00:00;9,15
MR;06.06.2025 19:00:00;9,13
MR;06.06.2025 20:00:00;9,14
MR;06.06.2025 21:00:00;9,16
MR;06.06.2025 22:00:00;9,15
MR;06.06.2025 23:00:00;9,09
MR;07.06.2025 00:00:00;9,15
MR;07.06.2025 01:00:00;9,20
MR;07.06.2025 02:00:00;9,13
MR;07.06.2025 03:00:00;9,19
MR;07.06.2025 04:00:00;9,13
MR;07.06.2025 05:00:00;9,17
MR;07.06.2025 06:00:00;9,12
MR;07.06.2025 07:00:00;9,17
MR;07.06.2025 08:00:00;9,18
MR;07.06.2025 09:00:00;9,20
MR;07.06.2025 10:00:00;9,19
MR;07.06.2025 11:00:00;9,13
MR;07.06.2025 12:00:00;9,19
MR;07.06.2025 13:00:00;9,12
MR;07.06.2025 14:00:00;9,14
MR;07.06.2025 15:00:00;9,16
MR;07.06.2025 16:00:00;9,13
MR;07.06.2025 17:00:00;9,19
MR;07.06.2025 18:00:00;9,14
MR;07.06.2025 19:00:00;9,20
MR;07.06.2025 20:00:00;9,20
MR;07.06.2025 21:00:00;9,16
MR;07.06.2025 22:00:00;9,19
MR;07.06.2025 23:00:00;9,16
MR;08.06.2025 00:00:00;9,07
MR;08.06.2025 01:00:00;9,09
MR;08.06.2025 02:00:00;9,13
MR;08.06.2025 03:00:00;9,08
MR;08.06.2025 04:00:00;9,10
MR;08.06.2025 05:00:00;9,10
MR;08.06.2025 06:00:00;9,10
MR;08.06.2025 07:00:00;9,13
MR;08.06.2025 08:00:00;9,07
MR;08.06.2025 09:00:00;9,08
MR;08.06.2025 10:00:00;9,13
MR;08.06.2025 11:00:00;9,10
MR;08.06.2025 12:00:00;9,17
MR;08.06.2025 13:00:00;9,15
MR;08.06.2025 14:00:00;9,12
MR;08.06.2025 15:00:00;9,08
MR;08.06.2025 16:00:00;9,08
MR;08.06.2025 17:00:00;9,12
MR;08.06.2025 18:00:00;9,11
MR;08.06.2025 19:00:00;9,07
MR;08.06.2025 20:00:00;9,15
MR;08.06.2025 21:00:00;9,16
MR;08.06.2025 22:00:00;9,09
MR;08.06.2025 23:00:00;9,16
MR;09.06.2025 00:00:00;9,35
MR;09.06.2025 01:00:00;9,33
MR;09.06.2025 02:00:00;9,27
MR;09.06.2025 03:00:00;9,30
MR;09.06.2025 04:00:00;9,33
MR;09.06.2025 05:00:00;9,33
MR;09.06.2025 06:00:00;9,31
MR;09.06.2025 07:00:00;9,33
MR;09.06.2025 08:00:00;9,36
MR;09.06.2025 09:00:00;9,33
MR;09.06.2025 10:00:00;9,30
MR;09.06.2025 11:00:00;9,30
MR;09.06.2025 12:00:00;9,34
MR;09.06.2025 13:00:00;9,28
