GWMST Name;Datum/Zeit;Messwert
dfd;04.06.2025 00:00:00;9,08
dfd;04.06.2025 01:00:00;9,07
dfd;04.06.2025 02:00:00;9,09
dfd;04.06.2025 03:00:00;9,13
dfd;04.06.2025 04:00:00;9,12
dfd;04.06.2025 05:00:00;9,12
dfd;04.06.2025 06:00:00;9,12
dfd;04.06.2025 07:00:00;9,07
dfd;04.06.2025 08:00:00;9,12
dfd;04.06.2025 09:00:00;9,05
dfd;04.06.2025 10:00:00;9,08
dfd;04.06.2025 11:00:00;9,11
dfd;04.06.2025 12:00:00;9,06
dfd;04.06.2025 13:00:00;9,13
dfd;04.06.2025 14:00:00;9,13
dfd;04.06.2025 15:00:00;9,07
dfd;04.06.2025 16:00:00;9,13
dfd;04.06.2025 17:00:00;9,05
dfd;04.06.2025 18:00:00;9,10
dfd;04.06.2025 19:00:00;9,07
dfd;04.06.2025 20:00:00;9,08
dfd;04.06.2025 21:00:00;9,07
dfd;04.06.2025 22:00:00;9,13
dfd;04.06.2025 23:00:00;9,15
dfd;05.06.2025 00:00:00;9,04
dfd;05.06.2025 01:00:00;9,03
dfd;05.06.2025 02:00:00;9,06
dfd;05.06.2025 03:00:00;9,03
dfd;05.06.2025 04:00:00;9,02
dfd;05.06.2025 05:00:00;9,00
dfd;05.06.2025 06:00:00;9,02
dfd;05.06.2025 07:00:00;9,07
dfd;05.06.2025 08:00:00;9,03
dfd;05.06.2025 09:00:00;9,07
dfd;05.06.2025 10:00:00;9,08
dfd;05.06.2025 11:00:00;9,03
dfd;05.06.2025 12:00:00;9,06
dfd;05.06.2025 13:00:00;9,06
dfd;05.06.2025 14:00:00;9,03
dfd;05.06.2025 15:00:00;9,03
dfd;05.06.2025 16:00:00;9,01
dfd;05.06.2025 17:00:00;9,05
dfd;05.06.2025 18:00:00;9,02
dfd;05.06.2025 19:00:00;9,06
dfd;05.06.2025 20:00:00;8,99
dfd;05.06.2025 21:00:00;9,01
dfd;05.06.2025 22:00:00;8,98
dfd;05.06.2025 23:00:00;9,00
dfd;06.06.2025 00:00:00;9,09
dfd;06.06.2025 01:00:00;9,12
dfd;06.06.2025 02:00:00;9,10
dfd;06.06.2025 03:00:00;9,11
dfd;06.06.2025 04:00:00;9,12
dfd;06.06.2025 05:00:00;9,18
dfd;06.06.2025 06:00:00;9,17
dfd;06.06.2025 07:00:00;9,10
dfd;06.06.2025 08:00:00;9,18
dfd;06.06.2025 09:00:00;9,15
dfd;06.06.2025 10:00:00;9,17
dfd;06.06.2025 11:00:00;9,15
dfd;06.06.2025 12:00:00;9,15
dfd;06.06.2025 13:00:00;9,18
dfd;06.06.2025 14:00:00;9,18
dfd;06.06.2025 15:00:00;9,11
dfd;06.06.2025 16:00:00;9,19
dfd;06.06.2025 17:00:00;9,11
dfd;06.06.2025 18:00:00;9,12
dfd;06.06.2025 19:00:00;9,14
dfd;06.06.2025 20:00:00;9,12
dfd;06.06.2025 21:00:00;9,17
dfd;06.06.2025 22:00:00;9,16
dfd;06.06.2025 23:00:00;9,11
dfd;07.06.2025 00:00:00;9,12
dfd;07.06.2025 01:00:00;9,16
dfd;07.06.2025 02:00:00;9,13
dfd;07.06.2025 03:00:00;9,15
dfd;07.06.2025 04:00:00;9,16
dfd;07.06.2025 05:00:00;9,15
dfd;07.06.2025 06:00:00;9,13
dfd;07.06.2025 07:00:00;9,17
dfd;07.06.2025 08:00:00;9,17
dfd;07.06.2025 09:00:00;9,14
dfd;07.06.2025 10:00:00;9,19
dfd;07.06.2025 11:00:00;9,19
dfd;07.06.2025 12:00:00;9,13
dfd;07.06.2025 13:00:00;9,20
dfd;07.06.2025 14:00:00;9,21
dfd;07.06.2025 15:00:00;9,18
dfd;07.06.2025 16:00:00;9,18
dfd;07.06.2025 17:00:00;9,18
dfd;07.06.2025 18:00:00;9,13
dfd;07.06.2025 19:00:00;9,15
dfd;07.06.2025 20:00:00;9,20
dfd;07.06.2025 21:00:00;9,20
dfd;07.06.2025 22:00:00;9,18
dfd;07.06.2025 23:00:00;9,18
dfd;08.06.2025 00:00:00;9,14
dfd;08.06.2025 01:00:00;9,11
