GWMST Name;Datum/Zeit;Messwert
hallo;04.06.2025 00:00:00;9,15
hallo;04.06.2025 01:00:00;9,14
hallo;04.06.2025 02:00:00;9,07
hallo;04.06.2025 03:00:00;9,12
hallo;04.06.2025 04:00:00;9,09
hallo;04.06.2025 05:00:00;9,13
hallo;04.06.2025 06:00:00;9,10
hallo;04.06.2025 07:00:00;9,08
hallo;04.06.2025 08:00:00;9,09
hallo;04.06.2025 09:00:00;9,07
hallo;04.06.2025 10:00:00;9,13
hallo;04.06.2025 11:00:00;9,08
hallo;04.06.2025 12:00:00;9,07
hallo;04.06.2025 13:00:00;9,13
hallo;04.06.2025 14:00:00;9,14
hallo;04.06.2025 15:00:00;9,06
hallo;04.06.2025 16:00:00;9,05
hallo;04.06.2025 17:00:00;9,11
hallo;04.06.2025 18:00:00;9,13
hallo;04.06.2025 19:00:00;9,06
hallo;04.06.2025 20:00:00;9,08
hallo;04.06.2025 21:00:00;9,13
hallo;04.06.2025 22:00:00;9,15
hallo;04.06.2025 23:00:00;9,08
hallo;05.06.2025 00:00:00;9,03
hallo;05.06.2025 01:00:00;9,07
hallo;05.06.2025 02:00:00;9,05
hallo;05.06.2025 03:00:00;9,00
hallo;05.06.2025 04:00:00;9,00
hallo;05.06.2025 05:00:00;8,99
hallo;05.06.2025 06:00:00;8,99
hallo;05.06.2025 07:00:00;9,02
hallo;05.06.2025 08:00:00;9,03
hallo;05.06.2025 09:00:00;9,06
hallo;05.06.2025 10:00:00;9,03
hallo;05.06.2025 11:00:00;9,07
hallo;05.06.2025 12:00:00;9,02
hallo;05.06.2025 13:00:00;9,05
hallo;05.06.2025 14:00:00;9,06
hallo;05.06.2025 15:00:00;9,01
hallo;05.06.2025 16:00:00;9,07
hallo;05.06.2025 17:00:00;9,06
hallo;05.06.2025 18:00:00;9,07
hallo;05.06.2025 19:00:00;9,07
hallo;05.06.2025 20:00:00;9,06
hallo;05.06.2025 21:00:00;9,04
hallo;05.06.2025 22:00:00;9,00
hallo;05.06.2025 23:00:00;9,03
hallo;06.06.2025 00:00:00;9,14
hallo;06.06.2025 01:00:00;9,16
hallo;06.06.2025 02:00:00;9,18
hallo;06.06.2025 03:00:00;9,10
hallo;06.06.2025 04:00:00;9,15
hallo;06.06.2025 05:00:00;9,10
hallo;06.06.2025 06:00:00;9,17
hallo;06.06.2025 07:00:00;9,16
hallo;06.06.2025 08:00:00;9,16
hallo;06.06.2025 09:00:00;9,19
hallo;06.06.2025 10:00:00;9,14
hallo;06.06.2025 11:00:00;9,10
hallo;06.06.2025 12:00:00;9,15
hallo;06.06.2025 13:00:00;9,16
hallo;06.06.2025 14:00:00;9,10
hallo;06.06.2025 15:00:00;9,15
hallo;06.06.2025 16:00:00;9,14
hallo;06.06.2025 17:00:00;9,15
hallo;06.06.2025 18:00:00;9,14
hallo;06.06.2025 19:00:00;9,14
hallo;06.06.2025 20:00:00;9,15
hallo;06.06.2025 21:00:00;9,12
hallo;06.06.2025 22:00:00;9,17
hallo;06.06.2025 23:00:00;9,14
hallo;07.06.2025 00:00:00;9,11
hallo;07.06.2025 01:00:00;9,18
