GWMST Name;Datum/Uhrzeit;Messwert
hallo;08.05.2025 00:00:00;3.61
hallo;08.05.2025 01:00:00;3.68
hallo;08.05.2025 02:00:00;3.87
hallo;08.05.2025 03:00:00;4.13
hallo;08.05.2025 04:00:00;4.37
hallo;08.05.2025 05:00:00;4.36
hallo;08.05.2025 06:00:00;4.82
hallo;08.05.2025 07:00:00;4.77
hallo;08.05.2025 08:00:00;5.22
hallo;08.05.2025 09:00:00;5.42
hallo;08.05.2025 10:00:00;5.06
hallo;08.05.2025 11:00:00;4.65
hallo;08.05.2025 12:00:00;4.55
hallo;08.05.2025 13:00:00;4.74
hallo;08.05.2025 14:00:00;4.74
hallo;08.05.2025 15:00:00;5.32
hallo;08.05.2025 16:00:00;5.05
hallo;08.05.2025 17:00:00;5.18
hallo;08.05.2025 18:00:00;5.48
hallo;08.05.2025 19:00:00;5.12
hallo;08.05.2025 20:00:00;5.26
hallo;08.05.2025 21:00:00;5.32
hallo;08.05.2025 22:00:00;5.65
hallo;08.05.2025 23:00:00;5.82
hallo;09.05.2025 00:00:00;5.10
hallo;09.05.2025 01:00:00;4.63
hallo;09.05.2025 02:00:00;4.30
hallo;09.05.2025 03:00:00;4.04
hallo;09.05.2025 04:00:00;3.86
hallo;09.05.2025 05:00:00;3.78
hallo;09.05.2025 06:00:00;3.66
hallo;09.05.2025 07:00:00;3.59
hallo;09.05.2025 08:00:00;3.58
hallo;09.05.2025 09:00:00;3.56
hallo;09.05.2025 10:00:00;3.55
hallo;09.05.2025 11:00:00;3.54
hallo;09.05.2025 12:00:00;3.53
hallo;09.05.2025 13:00:00;3.53
hallo;09.05.2025 14:00:00;3.51
hallo;09.05.2025 15:00:00;3.50
hallo;09.05.2025 16:00:00;3.48
hallo;09.05.2025 17:00:00;3.49
hallo;09.05.2025 18:00:00;3.51
hallo;09.05.2025 19:00:00;3.51
hallo;09.05.2025 20:00:00;3.53
hallo;09.05.2025 21:00:00;3.54
hallo;09.05.2025 22:00:00;3.51
hallo;09.05.2025 23:00:00;3.50
hallo;10.05.2025 00:00:00;3.50
hallo;10.05.2025 01:00:00;3.50
hallo;10.05.2025 02:00:00;3.52
hallo;10.05.2025 03:00:00;3.51
hallo;10.05.2025 04:00:00;3.50
hallo;10.05.2025 05:00:00;3.53
hallo;10.05.2025 06:00:00;3.52
hallo;10.05.2025 07:00:00;3.53
hallo;10.05.2025 08:00:00;3.50
hallo;10.05.2025 09:00:00;3.47
hallo;10.05.2025 10:00:00;3.51
hallo;10.05.2025 11:00:00;3.51
hallo;10.05.2025 12:00:00;3.52
hallo;10.05.2025 13:00:00;3.49
hallo;10.05.2025 14:00:00;3.50
hallo;10.05.2025 15:00:00;3.51
hallo;10.05.2025 16:00:00;3.48
hallo;10.05.2025 17:00:00;3.46
hallo;10.05.2025 18:00:00;3.45
hallo;10.05.2025 19:00:00;3.45
hallo;10.05.2025 20:00:00;3.43
hallo;10.05.2025 21:00:00;3.46
hallo;10.05.2025 22:00:00;3.46
hallo;10.05.2025 23:00:00;3.45
hallo;11.05.2025 00:00:00;3.45
hallo;11.05.2025 01:00:00;3.48
hallo;11.05.2025 02:00:00;3.47
hallo;11.05.2025 03:00:00;3.51
hallo;11.05.2025 04:00:00;3.53
hallo;11.05.2025 05:00:00;3.52
hallo;11.05.2025 06:00:00;3.52
hallo;11.05.2025 07:00:00;3.54
hallo;11.05.2025 08:00:00;3.51
hallo;11.05.2025 09:00:00;3.53
hallo;11.05.2025 10:00:00;3.54
hallo;11.05.2025 11:00:00;3.52
hallo;11.05.2025 12:00:00;3.52
hallo;11.05.2025 13:00:00;3.50
hallo;11.05.2025 14:00:00;3.48
