GWMST Name;Datum/Zeit;Messwert
jhkk;04.06.2025 00:00:00;9,14
jhkk;04.06.2025 01:00:00;9,09
jhkk;04.06.2025 02:00:00;9,07
jhkk;04.06.2025 03:00:00;9,08
jhkk;04.06.2025 04:00:00;9,13
jhkk;04.06.2025 05:00:00;9,12
jhkk;04.06.2025 06:00:00;9,13
jhkk;04.06.2025 07:00:00;9,11
jhkk;04.06.2025 08:00:00;9,08
jhkk;04.06.2025 09:00:00;9,12
jhkk;04.06.2025 10:00:00;9,07
jhkk;04.06.2025 11:00:00;9,07
jhkk;04.06.2025 12:00:00;9,11
jhkk;04.06.2025 13:00:00;9,09
jhkk;04.06.2025 14:00:00;9,06
jhkk;04.06.2025 15:00:00;9,14
jhkk;04.06.2025 16:00:00;9,14
jhkk;04.06.2025 17:00:00;9,05
jhkk;04.06.2025 18:00:00;9,15
jhkk;04.06.2025 19:00:00;9,15
jhkk;04.06.2025 20:00:00;9,11
jhkk;04.06.2025 21:00:00;9,13
jhkk;04.06.2025 22:00:00;9,08
jhkk;04.06.2025 23:00:00;9,06
jhkk;05.06.2025 00:00:00;9,07
jhkk;05.06.2025 01:00:00;9,03
jhkk;05.06.2025 02:00:00;9,07
jhkk;05.06.2025 03:00:00;9,06
jhkk;05.06.2025 04:00:00;9,03
jhkk;05.06.2025 05:00:00;9,07
jhkk;05.06.2025 06:00:00;8,99
jhkk;05.06.2025 07:00:00;8,99
jhkk;05.06.2025 08:00:00;9,06
jhkk;05.06.2025 09:00:00;8,98
jhkk;05.06.2025 10:00:00;8,99
jhkk;05.06.2025 11:00:00;8,99
jhkk;05.06.2025 12:00:00;9,06
jhkk;05.06.2025 13:00:00;9,06
jhkk;05.06.2025 14:00:00;9,05
jhkk;05.06.2025 15:00:00;9,03
jhkk;05.06.2025 16:00:00;9,06
jhkk;05.06.2025 17:00:00;9,03
jhkk;05.06.2025 18:00:00;9,01
jhkk;05.06.2025 19:00:00;9,07
jhkk;05.06.2025 20:00:00;9,02
jhkk;05.06.2025 21:00:00;9,03
jhkk;05.06.2025 22:00:00;9,01
