GWMST Name;Datum/Uhrzeit;Messwert
meins;08.05.2025 00:00:00;4.33
meins;08.05.2025 01:00:00;4.62
meins;08.05.2025 02:00:00;5.05
meins;08.05.2025 03:00:00;5.31
meins;08.05.2025 04:00:00;5.29
meins;08.05.2025 05:00:00;5.22
meins;08.05.2025 06:00:00;5.07
meins;08.05.2025 07:00:00;4.92
meins;08.05.2025 08:00:00;4.70
meins;08.05.2025 09:00:00;4.52
meins;08.05.2025 10:00:00;4.86
meins;08.05.2025 11:00:00;4.70
meins;08.05.2025 12:00:00;5.37
meins;08.05.2025 13:00:00;5.80
meins;08.05.2025 14:00:00;5.87
meins;08.05.2025 15:00:00;5.80
meins;08.05.2025 16:00:00;5.69
meins;08.05.2025 17:00:00;6.06
meins;08.05.2025 18:00:00;6.21
meins;08.05.2025 19:00:00;6.29
meins;08.05.2025 20:00:00;6.33
meins;08.05.2025 21:00:00;5.61
meins;08.05.2025 22:00:00;5.64
meins;08.05.2025 23:00:00;5.54
meins;09.05.2025 00:00:00;4.93
meins;09.05.2025 01:00:00;4.52
meins;09.05.2025 02:00:00;4.23
meins;09.05.2025 03:00:00;4.02
meins;09.05.2025 04:00:00;3.86
meins;09.05.2025 05:00:00;3.76
meins;09.05.2025 06:00:00;3.66
meins;09.05.2025 07:00:00;3.59
meins;09.05.2025 08:00:00;3.55
meins;09.05.2025 09:00:00;3.56
meins;09.05.2025 10:00:00;3.54
meins;09.05.2025 11:00:00;3.52
meins;09.05.2025 12:00:00;3.50
meins;09.05.2025 13:00:00;3.50
meins;09.05.2025 14:00:00;3.50
meins;09.05.2025 15:00:00;3.48
meins;09.05.2025 16:00:00;3.52
meins;09.05.2025 17:00:00;3.52
meins;09.05.2025 18:00:00;3.54
meins;09.05.2025 19:00:00;3.52
meins;09.05.2025 20:00:00;3.53
meins;09.05.2025 21:00:00;3.51
meins;09.05.2025 22:00:00;3.53
meins;09.05.2025 23:00:00;3.50
meins;10.05.2025 00:00:00;3.48
meins;10.05.2025 01:00:00;3.48
meins;10.05.2025 02:00:00;3.50
meins;10.05.2025 03:00:00;3.53
meins;10.05.2025 04:00:00;3.53
meins;10.05.2025 05:00:00;3.51
meins;10.05.2025 06:00:00;3.50
meins;10.05.2025 07:00:00;3.50
meins;10.05.2025 08:00:00;3.51
meins;10.05.2025 09:00:00;3.50
meins;10.05.2025 10:00:00;3.52
meins;10.05.2025 11:00:00;3.54
meins;10.05.2025 12:00:00;3.53
meins;10.05.2025 13:00:00;3.50
meins;10.05.2025 14:00:00;3.51
meins;10.05.2025 15:00:00;3.52
meins;10.05.2025 16:00:00;3.51
meins;10.05.2025 17:00:00;3.51
meins;10.05.2025 18:00:00;3.50
meins;10.05.2025 19:00:00;3.48
meins;10.05.2025 20:00:00;3.48
meins;10.05.2025 21:00:00;3.51
meins;10.05.2025 22:00:00;3.54
meins;10.05.2025 23:00:00;3.52
meins;11.05.2025 00:00:00;3.51
meins;11.05.2025 01:00:00;3.51
meins;11.05.2025 02:00:00;3.48
meins;11.05.2025 03:00:00;3.50
meins;11.05.2025 04:00:00;3.49
meins;11.05.2025 05:00:00;3.51
meins;11.05.2025 06:00:00;3.51
meins;11.05.2025 07:00:00;3.53
meins;11.05.2025 08:00:00;3.50
meins;11.05.2025 09:00:00;3.53
meins;11.05.2025 10:00:00;3.55
meins;11.05.2025 11:00:00;3.55
meins;11.05.2025 12:00:00;3.56
meins;11.05.2025 13:00:00;3.54
meins;11.05.2025 14:00:00;3.51
meins;11.05.2025 15:00:00;3.49
meins;11.05.2025 16:00:00;3.52
meins;11.05.2025 17:00:00;3.54
meins;11.05.2025 18:00:00;3.52
meins;11.05.2025 19:00:00;3.51
meins;11.05.2025 20:00:00;3.49
meins;11.05.2025 21:00:00;3.52
meins;11.05.2025 22:00:00;3.52
meins;11.05.2025 23:00:00;3.50
meins;12.05.2025 00:00:00;3.52
meins;12.05.2025 01:00:00;3.52
meins;12.05.2025 02:00:00;3.52
meins;12.05.2025 03:00:00;3.50
meins;12.05.2025 04:00:00;3.49
meins;12.05.2025 05:00:00;3.51
meins;12.05.2025 06:00:00;3.53
meins;12.05.2025 07:00:00;3.54
meins;12.05.2025 08:00:00;3.53
meins;12.05.2025 09:00:00;3.55
meins;12.05.2025 10:00:00;3.54
meins;12.05.2025 11:00:00;3.55
meins;12.05.2025 12:00:00;3.53
meins;12.05.2025 13:00:00;3.51
meins;12.05.2025 14:00:00;3.54
meins;12.05.2025 15:00:00;3.53
meins;12.05.2025 16:00:00;3.50
meins;12.05.2025 17:00:00;3.49
meins;12.05.2025 18:00:00;3.49
meins;12.05.2025 19:00:00;3.48
meins;12.05.2025 20:00:00;3.52
meins;12.05.2025 21:00:00;3.49
meins;12.05.2025 22:00:00;3.51
meins;12.05.2025 23:00:00;3.51
meins;13.05.2025 00:00:00;3.53
meins;13.05.2025 01:00:00;3.51
meins;13.05.2025 02:00:00;3.52
meins;13.05.2025 03:00:00;3.53
meins;13.05.2025 04:00:00;3.55
meins;13.05.2025 05:00:00;3.54
meins;13.05.2025 06:00:00;3.54
meins;13.05.2025 07:00:00;3.53
meins;13.05.2025 08:00:00;3.49
meins;13.05.2025 09:00:00;3.47
meins;13.05.2025 10:00:00;3.47
meins;13.05.2025 11:00:00;3.46
meins;13.05.2025 12:00:00;3.45
meins;13.05.2025 13:00:00;3.48
meins;13.05.2025 14:00:00;3.46
meins;13.05.2025 15:00:00;3.49
meins;13.05.2025 16:00:00;3.49
meins;13.05.2025 17:00:00;3.51
meins;13.05.2025 18:00:00;3.49
meins;13.05.2025 19:00:00;3.47
meins;13.05.2025 20:00:00;3.50
meins;13.05.2025 21:00:00;3.50
meins;13.05.2025 22:00:00;3.48
meins;13.05.2025 23:00:00;3.48
meins;14.05.2025 00:00:00;3.62
meins;14.05.2025 01:00:00;3.70
meins;14.05.2025 02:00:00;3.75
meins;14.05.2025 03:00:00;3.70
meins;14.05.2025 04:00:00;3.73
meins;14.05.2025 05:00:00;3.77
meins;14.05.2025 06:00:00;3.72
meins;14.05.2025 07:00:00;3.69
meins;14.05.2025 08:00:00;3.72
meins;14.05.2025 09:00:00;3.66
meins;14.05.2025 10:00:00;3.65
meins;14.05.2025 11:00:00;3.75
meins;14.05.2025 12:00:00;3.84
meins;14.05.2025 13:00:00;3.87
meins;14.05.2025 14:00:00;3.81
meins;14.05.2025 15:00:00;3.86
meins;14.05.2025 16:00:00;3.86
meins;14.05.2025 17:00:00;3.78
meins;14.05.2025 18:00:00;3.80
meins;14.05.2025 19:00:00;3.80
meins;14.05.2025 20:00:00;3.74
meins;14.05.2025 21:00:00;3.71
meins;14.05.2025 22:00:00;3.77
meins;14.05.2025 23:00:00;3.78
meins;15.05.2025 00:00:00;3.76
