GWMST Name;Datum/Uhrzeit;Messwert
moin;01.05.2013 00:00:00;3.93
moin;01.05.2013 01:00:00;4.65
moin;01.05.2013 02:00:00;4.76
moin;01.05.2013 03:00:00;5.04
moin;01.05.2013 04:00:00;5.54
moin;01.05.2013 05:00:00;5.63
moin;01.05.2013 06:00:00;5.39
moin;01.05.2013 07:00:00;5.13
moin;01.05.2013 08:00:00;5.17
moin;01.05.2013 09:00:00;5.32
moin;01.05.2013 10:00:00;5.70
moin;01.05.2013 11:00:00;5.69
moin;01.05.2013 12:00:00;5.79
moin;01.05.2013 13:00:00;5.58
moin;01.05.2013 14:00:00;5.25
moin;01.05.2013 15:00:00;5.66
moin;01.05.2013 16:00:00;5.29
moin;01.05.2013 17:00:00;4.86
moin;01.05.2013 18:00:00;4.77
moin;01.05.2013 19:00:00;5.30
moin;01.05.2013 20:00:00;5.28
moin;01.05.2013 21:00:00;5.32
moin;01.05.2013 22:00:00;5.82
moin;01.05.2013 23:00:00;5.43
moin;02.05.2013 00:00:00;4.83
moin;02.05.2013 01:00:00;4.41
moin;02.05.2013 02:00:00;4.10
moin;02.05.2013 03:00:00;3.94
moin;02.05.2013 04:00:00;3.78
moin;02.05.2013 05:00:00;3.71
moin;02.05.2013 06:00:00;3.63
moin;02.05.2013 07:00:00;3.59
moin;02.05.2013 08:00:00;3.57
moin;02.05.2013 09:00:00;3.51
moin;02.05.2013 10:00:00;3.51
moin;02.05.2013 11:00:00;3.49
moin;02.05.2013 12:00:00;3.49
moin;02.05.2013 13:00:00;3.50
moin;02.05.2013 14:00:00;3.51
moin;02.05.2013 15:00:00;3.50
moin;02.05.2013 16:00:00;3.48
moin;02.05.2013 17:00:00;3.47
moin;02.05.2013 18:00:00;3.49
moin;02.05.2013 19:00:00;3.46
moin;02.05.2013 20:00:00;3.47
moin;02.05.2013 21:00:00;3.44
moin;02.05.2013 22:00:00;3.48
moin;02.05.2013 23:00:00;3.46
moin;03.05.2013 00:00:00;3.44
moin;03.05.2013 01:00:00;3.47
moin;03.05.2013 02:00:00;3.46
moin;03.05.2013 03:00:00;3.44
moin;03.05.2013 04:00:00;3.44
moin;03.05.2013 05:00:00;3.43
moin;03.05.2013 06:00:00;3.44
moin;03.05.2013 07:00:00;3.45
moin;03.05.2013 08:00:00;3.43
moin;03.05.2013 09:00:00;3.43
moin;03.05.2013 10:00:00;3.43
moin;03.05.2013 11:00:00;3.45
moin;03.05.2013 12:00:00;3.47
moin;03.05.2013 13:00:00;3.47
moin;03.05.2013 14:00:00;3.44
moin;03.05.2013 15:00:00;3.47
moin;03.05.2013 16:00:00;3.44
moin;03.05.2013 17:00:00;3.44
moin;03.05.2013 18:00:00;3.47
moin;03.05.2013 19:00:00;3.49
moin;03.05.2013 20:00:00;3.46
moin;03.05.2013 21:00:00;3.45
moin;03.05.2013 22:00:00;3.45
moin;03.05.2013 23:00:00;3.43
moin;04.05.2013 00:00:00;3.58
moin;04.05.2013 01:00:00;3.68
moin;04.05.2013 02:00:00;3.75
moin;04.05.2013 03:00:00;3.78
moin;04.05.2013 04:00:00;3.81
moin;04.05.2013 05:00:00;3.81
moin;04.05.2013 06:00:00;3.87
moin;04.05.2013 07:00:00;3.85
moin;04.05.2013 08:00:00;3.89
moin;04.05.2013 09:00:00;3.89
moin;04.05.2013 10:00:00;3.88
moin;04.05.2013 11:00:00;3.87
moin;04.05.2013 12:00:00;3.88
moin;04.05.2013 13:00:00;3.89
moin;04.05.2013 14:00:00;3.88
moin;04.05.2013 15:00:00;3.89
moin;04.05.2013 16:00:00;3.88
moin;04.05.2013 17:00:00;3.90
moin;04.05.2013 18:00:00;3.92
moin;04.05.2013 19:00:00;3.94
moin;04.05.2013 20:00:00;3.94
moin;04.05.2013 21:00:00;3.92
moin;04.05.2013 22:00:00;3.90
moin;04.05.2013 23:00:00;3.93
moin;05.05.2013 00:00:00;3.86
moin;05.05.2013 01:00:00;3.80
moin;05.05.2013 02:00:00;3.78
moin;05.05.2013 03:00:00;3.77
moin;05.05.2013 04:00:00;3.79
moin;05.05.2013 05:00:00;3.80
moin;05.05.2013 06:00:00;3.79
moin;05.05.2013 07:00:00;3.76
moin;05.05.2013 08:00:00;3.77
moin;05.05.2013 09:00:00;3.75
moin;05.05.2013 10:00:00;3.74
moin;05.05.2013 11:00:00;3.77
moin;05.05.2013 12:00:00;3.74
moin;05.05.2013 13:00:00;3.77
moin;05.05.2013 14:00:00;3.75
moin;05.05.2013 15:00:00;3.73
moin;05.05.2013 16:00:00;3.71
moin;05.05.2013 17:00:00;3.72
moin;05.05.2013 18:00:00;3.74
moin;05.05.2013 19:00:00;3.73
moin;05.05.2013 20:00:00;3.73
moin;05.05.2013 21:00:00;3.77
moin;05.05.2013 22:00:00;3.75
moin;05.05.2013 23:00:00;3.74
moin;06.05.2013 00:00:00;3.63
moin;06.05.2013 01:00:00;3.57
moin;06.05.2013 02:00:00;3.51
moin;06.05.2013 03:00:00;3.51
moin;06.05.2013 04:00:00;3.49
moin;06.05.2013 05:00:00;3.47
moin;06.05.2013 06:00:00;3.50
moin;06.05.2013 07:00:00;3.48
moin;06.05.2013 08:00:00;3.48
moin;06.05.2013 09:00:00;3.50
moin;06.05.2013 10:00:00;3.46
moin;06.05.2013 11:00:00;3.45
moin;06.05.2013 12:00:00;3.43
moin;06.05.2013 13:00:00;3.47
moin;06.05.2013 14:00:00;3.44
moin;06.05.2013 15:00:00;3.43
moin;06.05.2013 16:00:00;3.42
moin;06.05.2013 17:00:00;3.41
moin;06.05.2013 18:00:00;3.40
moin;06.05.2013 19:00:00;3.41
moin;06.05.2013 20:00:00;3.41
moin;06.05.2013 21:00:00;3.44
moin;06.05.2013 22:00:00;3.46
moin;06.05.2013 23:00:00;3.45
moin;07.05.2013 00:00:00;3.54
moin;07.05.2013 01:00:00;3.66
moin;07.05.2013 02:00:00;3.75
moin;07.05.2013 03:00:00;3.66
moin;07.05.2013 04:00:00;3.68
moin;07.05.2013 05:00:00;3.78
moin;07.05.2013 06:00:00;3.77
moin;07.05.2013 07:00:00;3.69
moin;07.05.2013 08:00:00;3.63
moin;07.05.2013 09:00:00;3.70
moin;07.05.2013 10:00:00;3.71
moin;07.05.2013 11:00:00;3.68
moin;07.05.2013 12:00:00;3.65
moin;07.05.2013 13:00:00;3.69
moin;07.05.2013 14:00:00;3.69
moin;07.05.2013 15:00:00;3.68
moin;07.05.2013 16:00:00;3.69
moin;07.05.2013 17:00:00;3.64
moin;07.05.2013 18:00:00;3.61
moin;07.05.2013 19:00:00;3.64
moin;07.05.2013 20:00:00;3.71
moin;07.05.2013 21:00:00;3.63
moin;07.05.2013 22:00:00;3.66
moin;07.05.2013 23:00:00;3.75
moin;08.05.2013 00:00:00;3.73
moin;08.05.2013 01:00:00;3.67
moin;08.05.2013 02:00:00;3.59
moin;08.05.2013 03:00:00;3.61
moin;08.05.2013 04:00:00;3.60
moin;08.05.2013 05:00:00;3.62
moin;08.05.2013 06:00:00;3.59
moin;08.05.2013 07:00:00;3.66
moin;08.05.2013 08:00:00;3.66
moin;08.05.2013 09:00:00;3.60
moin;08.05.2013 10:00:00;3.62
moin;08.05.2013 11:00:00;3.64
moin;08.05.2013 12:00:00;3.61
moin;08.05.2013 13:00:00;3.59
moin;08.05.2013 14:00:00;3.58
moin;08.05.2013 15:00:00;3.56
moin;08.05.2013 16:00:00;3.54
moin;08.05.2013 17:00:00;3.59
moin;08.05.2013 18:00:00;3.63
moin;08.05.2013 19:00:00;3.66
moin;08.05.2013 20:00:00;3.68
moin;08.05.2013 21:00:00;3.70
moin;08.05.2013 22:00:00;3.65
moin;08.05.2013 23:00:00;3.62
moin;09.05.2013 00:00:00;3.56
moin;09.05.2013 01:00:00;3.51
moin;09.05.2013 02:00:00;3.53
moin;09.05.2013 03:00:00;3.53
moin;09.05.2013 04:00:00;3.50
moin;09.05.2013 05:00:00;3.51
moin;09.05.2013 06:00:00;3.50
moin;09.05.2013 07:00:00;3.46
moin;09.05.2013 08:00:00;3.48
moin;09.05.2013 09:00:00;3.48
moin;09.05.2013 10:00:00;3.48
moin;09.05.2013 11:00:00;3.49
moin;09.05.2013 12:00:00;3.51
moin;09.05.2013 13:00:00;3.47
moin;09.05.2013 14:00:00;3.45
moin;09.05.2013 15:00:00;3.48
moin;09.05.2013 16:00:00;3.49
moin;09.05.2013 17:00:00;3.50
moin;09.05.2013 18:00:00;3.52
moin;09.05.2013 19:00:00;3.51
moin;09.05.2013 20:00:00;3.53
moin;09.05.2013 21:00:00;3.54
moin;09.05.2013 22:00:00;3.50
moin;09.05.2013 23:00:00;3.47
moin;10.05.2013 00:00:00;3.47
moin;10.05.2013 01:00:00;3.49
moin;10.05.2013 02:00:00;3.51
moin;10.05.2013 03:00:00;3.49
moin;10.05.2013 04:00:00;3.48
moin;10.05.2013 05:00:00;3.49
moin;10.05.2013 06:00:00;3.47
moin;10.05.2013 07:00:00;3.46
moin;10.05.2013 08:00:00;3.47
moin;10.05.2013 09:00:00;3.49
moin;10.05.2013 10:00:00;3.50
moin;10.05.2013 11:00:00;3.49
moin;10.05.2013 12:00:00;3.47
moin;10.05.2013 13:00:00;3.48
moin;10.05.2013 14:00:00;3.46
moin;10.05.2013 15:00:00;3.48
moin;10.05.2013 16:00:00;3.50
moin;10.05.2013 17:00:00;3.46
moin;10.05.2013 18:00:00;3.47
moin;10.05.2013 19:00:00;3.46
moin;10.05.2013 20:00:00;3.48
moin;10.05.2013 21:00:00;3.45
moin;10.05.2013 22:00:00;3.43
moin;10.05.2013 23:00:00;3.43
moin;11.05.2013 00:00:00;3.47
moin;11.05.2013 01:00:00;3.46
moin;11.05.2013 02:00:00;3.49
moin;11.05.2013 03:00:00;3.49
moin;11.05.2013 04:00:00;3.46
moin;11.05.2013 05:00:00;3.47
moin;11.05.2013 06:00:00;3.48
moin;11.05.2013 07:00:00;3.49
moin;11.05.2013 08:00:00;3.46
moin;11.05.2013 09:00:00;3.48
moin;11.05.2013 10:00:00;3.49
moin;11.05.2013 11:00:00;3.49
moin;11.05.2013 12:00:00;3.49
moin;11.05.2013 13:00:00;3.48
moin;11.05.2013 14:00:00;3.49
moin;11.05.2013 15:00:00;3.47
moin;11.05.2013 16:00:00;3.47
moin;11.05.2013 17:00:00;3.49
moin;11.05.2013 18:00:00;3.48
moin;11.05.2013 19:00:00;3.46
moin;11.05.2013 20:00:00;3.47
moin;11.05.2013 21:00:00;3.49
moin;11.05.2013 22:00:00;3.49
moin;11.05.2013 23:00:00;3.50
moin;12.05.2013 00:00:00;3.48
moin;12.05.2013 01:00:00;3.47
moin;12.05.2013 02:00:00;3.50
moin;12.05.2013 03:00:00;3.47
moin;12.05.2013 04:00:00;3.46
moin;12.05.2013 05:00:00;3.44
moin;12.05.2013 06:00:00;3.48
moin;12.05.2013 07:00:00;3.46
moin;12.05.2013 08:00:00;3.47
moin;12.05.2013 09:00:00;3.49
moin;12.05.2013 10:00:00;3.47
moin;12.05.2013 11:00:00;3.49
moin;12.05.2013 12:00:00;3.45
moin;12.05.2013 13:00:00;3.43
moin;12.05.2013 14:00:00;3.43
moin;12.05.2013 15:00:00;3.44
moin;12.05.2013 16:00:00;3.45
moin;12.05.2013 17:00:00;3.45
moin;12.05.2013 18:00:00;3.48
moin;12.05.2013 19:00:00;3.45
moin;12.05.2013 20:00:00;3.46
moin;12.05.2013 21:00:00;3.45
moin;12.05.2013 22:00:00;3.46
moin;12.05.2013 23:00:00;3.47
moin;13.05.2013 00:00:00;3.56
moin;13.05.2013 01:00:00;3.64
moin;13.05.2013 02:00:00;3.66
moin;13.05.2013 03:00:00;3.62
moin;13.05.2013 04:00:00;3.67
moin;13.05.2013 05:00:00;3.73
moin;13.05.2013 06:00:00;3.75
moin;13.05.2013 07:00:00;3.77
moin;13.05.2013 08:00:00;3.73
moin;13.05.2013 09:00:00;3.78
moin;13.05.2013 10:00:00;3.74
moin;13.05.2013 11:00:00;3.70
moin;13.05.2013 12:00:00;3.63
moin;13.05.2013 13:00:00;3.71
moin;13.05.2013 14:00:00;3.77
moin;13.05.2013 15:00:00;3.70
moin;13.05.2013 16:00:00;3.68
moin;13.05.2013 17:00:00;3.60
moin;13.05.2013 18:00:00;3.67
moin;13.05.2013 19:00:00;3.67
moin;13.05.2013 20:00:00;3.66
moin;13.05.2013 21:00:00;3.63
moin;13.05.2013 22:00:00;3.69
moin;13.05.2013 23:00:00;3.75
moin;14.05.2013 00:00:00;3.64
moin;14.05.2013 01:00:00;3.61
moin;14.05.2013 02:00:00;3.58
moin;14.05.2013 03:00:00;3.57
moin;14.05.2013 04:00:00;3.52
moin;14.05.2013 05:00:00;3.50
moin;14.05.2013 06:00:00;3.48
moin;14.05.2013 07:00:00;3.48
moin;14.05.2013 08:00:00;3.46
moin;14.05.2013 09:00:00;3.49
moin;14.05.2013 10:00:00;3.47
moin;14.05.2013 11:00:00;3.47
moin;14.05.2013 12:00:00;3.44
moin;14.05.2013 13:00:00;3.46
moin;14.05.2013 14:00:00;3.46
moin;14.05.2013 15:00:00;3.45
moin;14.05.2013 16:00:00;3.47
moin;14.05.2013 17:00:00;3.49
moin;14.05.2013 18:00:00;3.47
moin;14.05.2013 19:00:00;3.48
moin;14.05.2013 20:00:00;3.46
moin;14.05.2013 21:00:00;3.48
moin;14.05.2013 22:00:00;3.47
moin;14.05.2013 23:00:00;3.45
moin;15.05.2013 00:00:00;3.54
moin;15.05.2013 01:00:00;3.56
moin;15.05.2013 02:00:00;3.61
moin;15.05.2013 03:00:00;3.63
moin;15.05.2013 04:00:00;3.60
moin;15.05.2013 05:00:00;3.59
moin;15.05.2013 06:00:00;3.60
moin;15.05.2013 07:00:00;3.64
moin;15.05.2013 08:00:00;3.59
moin;15.05.2013 09:00:00;3.53
moin;15.05.2013 10:00:00;3.53
moin;15.05.2013 11:00:00;3.53
moin;15.05.2013 12:00:00;3.55
moin;15.05.2013 13:00:00;3.55
moin;15.05.2013 14:00:00;3.56
moin;15.05.2013 15:00:00;3.53
moin;15.05.2013 16:00:00;3.54
moin;15.05.2013 17:00:00;3.53
moin;15.05.2013 18:00:00;3.52
moin;15.05.2013 19:00:00;3.53
moin;15.05.2013 20:00:00;3.55
moin;15.05.2013 21:00:00;3.57
moin;15.05.2013 22:00:00;3.62
moin;15.05.2013 23:00:00;3.60
moin;16.05.2013 00:00:00;3.56
moin;16.05.2013 01:00:00;3.54
moin;16.05.2013 02:00:00;3.54
moin;16.05.2013 03:00:00;3.51
moin;16.05.2013 04:00:00;3.50
moin;16.05.2013 05:00:00;3.50
moin;16.05.2013 06:00:00;3.48
moin;16.05.2013 07:00:00;3.46
moin;16.05.2013 08:00:00;3.49
moin;16.05.2013 09:00:00;3.47
moin;16.05.2013 10:00:00;3.48
moin;16.05.2013 11:00:00;3.46
moin;16.05.2013 12:00:00;3.48
moin;16.05.2013 13:00:00;3.45
moin;16.05.2013 14:00:00;3.46
moin;16.05.2013 15:00:00;3.45
moin;16.05.2013 16:00:00;3.42
moin;16.05.2013 17:00:00;3.44
moin;16.05.2013 18:00:00;3.42
moin;16.05.2013 19:00:00;3.45
moin;16.05.2013 20:00:00;3.47
moin;16.05.2013 21:00:00;3.46
moin;16.05.2013 22:00:00;3.44
moin;16.05.2013 23:00:00;3.43
moin;17.05.2013 00:00:00;3.46
moin;17.05.2013 01:00:00;3.49
moin;17.05.2013 02:00:00;3.49
moin;17.05.2013 03:00:00;3.47
moin;17.05.2013 04:00:00;3.45
moin;17.05.2013 05:00:00;3.43
moin;17.05.2013 06:00:00;3.44
